name,cas,solvent_1,solvent_2,solvent_3,solvent_4,solvent_5
1-Docosanol (behenyl alcohol),661-19-8,diethyl_ether/chloroform/diethyl_ether,,,,
Dodecylamine (lauryl amine),124-22-1,acetone/chloroform/petroleum_ether,petroleum_ether,,,
"Dodecyldimethylamine N-oxide (DDAO, DDMAO)",1643-20-5,acetone,,,,
"Dodecyl ether (didodecyl ether, lauryl ether)",4542-57-8,methanol/methanol,,,,
Dodecyltrimethylammonium bromide,1119-94-4,ethanol/diethyl_ether/methanol,acetone,ethanol,,
Eicosane (C20),112-95-8,ethanol,,,,
Elaidic (trans-oleic) acid,112-79-8,acetic_acid,,,,
Erucic acid (cis-13-docosenoic acid),112-86-7,methanol,,,,
Ethyl acetimidate hydrochloride,2208-07-3,ethanol,,,,
Ethylamine,75-04-7,methanol/chloroform,,,,
"N,N'-Ethylenediaminediacetic acid (EDDA)",5657-17-0,water,,,,
Ethyl malonate monoamide,7597-56-0,diethyl_ether,,,,
Ethyl nitroacetate,626-35-7,ethanol/water,,,,
Ethyl stearate,111-61-5,ethanol,,,,
Ethyl thioglycolate (ethyl 2-mercaptoacetate),623-51-8,ethanol,,,,
N-Ethylthiourea,625-53-6,ethanol,,,,
"Ethyl 4,4,4-trifluoroacetoacetate (ethyl 3-oxo-4,4,4-trifluorobutyrate)",372-31-6,ethanol,,,,
Fluoroacetamide,640-19-7,chloroform,,,,
Formamidine hydrochloride,6313-33-3,methanol,,,,
N-Formyl tert-butylamine (N-tert-butylformamide),2425-74-3,diethyl_ether,,,,
Formyl hydrazine (formic acid hydrazide),624-84-0,ethanol,,,,
dl-Glyceraldehyde,56-82-6,ethanol,,,,
Guanidine carbonate,593-85-1,methanol,,,,
Heptadecanoic acid (margaric),506-12-7,chloroform/petroleum_ether,methanol/petroleum_ether,,,
1-Heptadecanol,1454-85-9,acetone,,,,
n-Heptaldehyde,111-71-7,water,,,,
n-Heptaldoxime,629-31-2,water,,,,
Hexachloroethane,67-72-1,ethanol/water,,,,
"Hexacosanoic acid (cerotic acid, cerotinic acid)",506-46-7,ethanol,,,,
n-Hexadecane (Cetane),544-76-3,acetone,,,,
"1,14-Hexadecanedioic acid (Thaspic acid)",505-54-4,ethanol,,,,
Hexadecanoic acid (palmitic acid),57-10-3,acetone,hexane,,,
Hexyltrimethylammonium bromide,2650-53-5,acetone,,,,
12-Hydroxydodecanoic acid (12-hydroxylauric acid),505-95-3,toluene,,,,
2-Hydroxyethylimino-tris(hydroxymethyl)methane (MONO-TRIS),7343-51-3,ethanol,,,,
dl-2-Hydroxy-3-methylbutyric (α-hydroxyisovaleric) acid,4026-18-0,diethyl_ether,,,,
3-Hydroxy-3-methylglutaric acid (Meglutol),503-49-1,hexane,,,,
"2-Hydroxy-2-methylpropionic acid (α-hydroxyisobutyric acid, 2-methyllactic acid)",594-61-6,diethyl_ether,,,,
N-Hydroxysuccinimide,6066-82-6,ethanol,,,,
(±)-2-Hydroxy-n-tetradecanoic acid (α-hydroxymyristic acid),2507-55-3,chloroform,,,,
R(-)-2-Hydroxy-n-tetradecanoic acid,26632-17-7,diethyl_ether,chloroform,acetone,,
Iodoacetic acid,64-69-7,petroleum_ether/chloroform/carbon_tetrachloride,,,,
Iodoform,75-47-8,methanol,,,,
N-Iodosuccinimide,516-12-1,dioxane/carbon_tetrachloride,,,,
Isobutyramide (2-methylpropionamide),563-83-7,acetone,,,,
Isopropyl acrylamide,2210-25-5,hexane,,,,
"Itaconic acid (2-propen-1,2-dicarboxylic acid)",97-65-4,ethanol,,,,
"Itaconic anhydride (2-propen-1,2-dicarboxylic anhydride)",2170-03-8,chloroform/petroleum_ether,,,,
Lauric acid (1-dodecanoic acid),143-07-7,acetone,,,,
Z-Maleamic acid (cis-maleic acid monoamide),557-24-4,ethanol,,,,
"Maleic acid (toxilic acid, cis-butenedioic acid)",110-16-7,acetone/petroleum_ether,,,,
Malonic acid,141-82-2,water/acetone,,,,
Mesaconic acid (methylfumaric acid),498-24-8,water,,,,
Mesityl oxide (4129 -methyl-3-penten -2-one),141-79-7,ethanol,,,,
Methyl cyanoformate,17640-15-2,diethyl_ether,,,,
N-Methyleneaminoacetonitrile (MAAN),109-82-0,acetone,ethanol,,,
"O-Methylisourea hydrogen sulfate (2-methylpseudourea sulfate, O-methylisourea bisulfate)",29427-58-5,methanol,,,,
2-Methyl-2-nitro-1-propanol,76-39-1,petroleum_ether/methanol,,,,
Methyl oleate (methyl cis-9-octadecenoate),112-62-9,acetone,,,,
3-Methyl-3-pentanol carbamate (Emylcamate),78-28-4,water,,,,
2-Methyl-1-propanol (isobutanol),78-83-1,petroleum_ether,,,,
Methyl stearate (methyl octadecanoate),122-61-8,petroleum_ether,,,,
R(+)-2-Methylsuccinic anhydride,83247-83-0,chloroform/petroleum_ether/petroleum_ether,,,,
R(+)-2-Methylsuccinimide,117307-07-0,toluene,,,,
N-Methylsuccinimide,1121-07-9,diethyl_ether,ethanol/acetone,,,
N-Methylthioacetamide,5310-10-1,ethanol,,,,
N-Monobutyl urea,592-31-4,ethanol,,,,
N-Monoethyl urea,625-52-5,ethanol,,,,
N-Monomethyl urea,598-50-5,ethanol,,,,
N-Monopropyl urea,627-06-5,ethanol/ethanol/diethyl_ether,,,,
"trans, trans-Muconic acid (hexa-2,4-dienedioic acid)",3588-17-8,water,,,,
Myristic acid (tetradecanoic acid),544-63-8,petroleum_ether,,,,
Nitrourea,556-89-8,ethanol/petroleum_ether,,,,
n-Octacosane,630-02-4,acetone,,,,
n-Octadecane,593-45-3,acetone,,,,
Octadecyl acetate,822-23-1,diethyl_ether/methanol,,,,
"n-Octadecyl alcohol (stearyl alcohol, octadecanol)",112-92-5,ethanol,methanol,,,
Octadecyl ether (dioctadecyl ether),6297-03-6,methanol,,,,
"RS-Octane-1,2-diol",1117-86-8,petroleum_ether,,,,
"Octane-1,8-diol (octamethylene glycol)",629-41-4,ethanol,,,,
"Oleic acid (OLA, cis-9-octadecenoic acid, olainic acid)",112-80-1,acetone,,,,
Oleyl alcohol,143-28-2,acetone,,,,
Oxaloacetic acid,328-42-7,ethyl_acetate,acetone,,,
"2-Oxoglutaric acid (2-oxopentane-1,5-dioic, α-ketoglutaric acid)",328-50-7,acetone,,,,
Palmitic acid anhydride (hexadecanoic anhydride),623-65-4,petroleum_ether,,,,
Pentabromoacetone,79-49-2,diethyl_ether,,,,
Pentadecafluoro octanoic acid (perfluorocaprylic acid),335-67-1,carbon_tetrachloride/toluene,,,,
Pentadecanoic acid,1002-84-2,diethyl_ether,,,,
"Pentadecanolide (1-oxacyclohexadecan-2-one, pentadecanoic-ω-lactone, 15-hydroxypentadecanoic lactone, exaltolide, Tibetolide)",106-02-5,methanol,,,,
"Phorone (2,6-dimethylhepta-2,5-dien-4-one)",504-20-1,ethanol,,,,
"Pinacol (anhydrous) (2,3-dimethyl-2,3-butanediol)",76-09-5,toluene/petroleum_ether,,,,
Propionamide,79-05-0,acetone,,,,
n-Propyl alcohol (1-propanol),71-23-8,water,,,,
Pyruvic acid (2-oxopropionic acid),127-17-3,acetone,,,,
Sebacic acid monomethyl ester,818-88-2,acetone/petroleum_ether/petroleum_ether,,,,
Semicarbazide hydrochloride (hydrazine carboxamide hydrochloride),563-41-7,water,,,,
Stearic acid (octadecanoic acid),57-11-4,acetone,,,,
"Suberic acid (hexane-1,6-dicarboxylic acid)",505-48-6,acetone,,,,
Succinamic acid (succinic acid amide),638-32-4,acetone/water,,,,
Succinic acid,110-15-6,acetone,,,,
"Succinic anhydride (dihydro-2,5-furandione)",108-30-5,chloroform,,,,
"Succinimide (2,5-pyrrolidindione)",123-56-8,ethanol,,,,
"Succinonitrile (1,2-dicyanoethane)",110-61-2,acetone,,,,
"D(-)-Tartaric acid (2S,3S-threaric acid",147-71-7,hexane,,,,
Tetra-n-amylammonium bromide (tetra-n-pentylammonium bromide),866-97-7,petroleum_ether,,,,
Tetra-n-amylammonium iodide,2498-20-6,ethanol,,,,
Tetra-n-butylammonium hydrogen sulfate,32503-27-8,acetone,,,,
Tetra-n-butylammonium iodide,311-28-4,petroleum_ether/hexane,toluene/petroleum_ether,,,
Tetra-n-butylammonium perchlorate,1923-70-2,ethanol,,,,
Tetra-n-butylammonium picrate,914-45-4,ethanol,,,,
Tetra-n-butylammonium tetrabutylborate (Bu4N+ Bu4B-),23231-91-6,ethanol/ethyl_acetate,,,,
Tetra-n-butylammonium tetrafluoroborate,429-42-5,water,,,,
Tetracosanoic (lignoceric) acid,557-59-5,acetic_acid,,,,
Tetradecyl ether (di-tetradecyl ether),5412-98-6,methanol,,,,
Tetradecyltrimethylammonium bromide (myristyl trimethylammonium bromide),1119-97-7,acetone/water/acetone/ethanol,,,,
Tetraethylammonium iodide,68-05-3,acetone/methanol,,,,
"Tetraethylenepentamine (TEPA, tetrene)",112-57-2,ethanol,,,,
Tetra-n-heptylammonium iodide,3535-83-9,ethanol,,,,
Tetra-n-hexylammonium chloride,5922-92-9,ethanol,,,,
Tetrahexylammonium perchlorate,4656-81-9,acetone,,,,
Tetramethylammonium bromide,64-20-0,ethanol,acetone,,,
Tetramethylammonium chloride (TMA),75-57-0,ethanol,,,,
Tetramethylammonium iodide,75-58-1,acetone,,,,
Tetramethylammonium nitrate,1941-24-8,ethanol,,,,
Tetramethylammonium perchlorate,2537-36-2,water,,,,
Tetramethylammonium tetraphenylborate,15525-13-0,acetone,,,,
Tetramethylethylenediamine dihydrochloride,7677-21-8,ethanol/water,,,,
Tetra-n-propylammonium iodide,631-40-3,ethanol,,,,
Tetra-n-propylammonium perchlorate,15780-02-6,water/acetonitrile,,,,
Thioformamide,115-08-2,ethyl_acetate,,,,
"trans-Traumatic acid (2-dodecene-1,12-dioic acid)",6402-36-4,ethanol,,,,
Tribromochloromethane,594-15-0,ethanol,,,,
Tri-n-butylammonium nitrate,33850-87-2,acetone,,,,
