name,cas,solvent_1,solvent_2,solvent_3,solvent_4,solvent_5
"2-p-Anisyl-1,3-indanone (anisindione, Unidone)",117-37-3,acetic_acid/ethanol,,,,
Anthracene,120-12-7,ethanol,ethanol/water,cyclohexane,,
Anthracene-9-carboxylic acid (anthroic acid),723-62-6,ethanol,petroleum_ether,,,
9-Anthraldehyde (anthracene-9-carboxaldehyde),642-31-9,acetic_acid/ethanol,,,,
"Anthranol (enol tautomer of anthone, see below)",529-86-2,petroleum_ether,,,,
Anthraquinone,84-65-1,chloroform,,,,
"Anthrarufin (1,5-dihydroxy-9,10-anthraquinone)",117-12-4,acetone,,,,
"1,8,9-Anthratriol (1,9,8-trihydroxyanthracene)",480-22-8,petroleum_ether,,,,
Azobenzene,103-33-3,ethanol/hexane,,,,
"p,p'-Azoxyanisole (4,4'-dimethoxyazoxybenzene)",1562-94-3,ethanol/water,,,,
Azoxybenzene (Fenazox),495-48-7,ethanol/methanol,toluene/ethanol,,,
Azulene,275-51-4,ethanol,,,,
Benzalacetone (trans-4-phenyl-3-buten-2-one),122-57-6,petroleum_ether,,,,
Benzalacetophenone (Chalcone),94-41-7,methanol,hexane,,,
Benzanilide,93-98-1,petroleum_ether,ethanol,,,
Benzanthrone,82-05-3,ethanol/xylene,,,,
1-Benzeneazo-2-naphthol (Sudan I),842-07-9,ethanol,,,,
"1,2-Benzenedimethanol (1,2-bishydroxymethylbenzene, phthalyl alcohol)",612-14-6,petroleum_ether,,,,
"Benzene-1,2,4,5-tetracarboxylic dianhydride (Pyromellitic dianhydride)",89-32-7,dioxane,,,,
"1,2,4-Benzenetriol (hydroxyhydroquinone)",533-73-3,diethyl_ether/diethyl_ether/ethanol,,,,
Benzhydrol (diphenylmethanol),91-01-0,water/petroleum_ether,carbon_tetrachloride,methanol,,
"Benzidine (4,4'-diaminobiphenyl)",92-87-5,ethanol,,,,
"Benzil (dibenzoyl, diphenylethanedione)",134-81-6,carbon_tetrachloride,ethanol,,,
Benzoic acid,65-85-0,ethanol,,,,
R-(-)-Benzoin,5928-66-5,ethanol,,,,
Benzophenone (diphenylketone),119-61-9,methanol,,,,
"Benzopinacol (1,1,2,2-tetraphenyl-1,2-ethanediol)",464-72-2,ethanol,,,,
p-Benzoquinone,106-51-4,petroleum_ether,,,,
"Benzoylacetone (1-phenyl-1,3-butanedione)",93-91-4,diethyl_ether/methanol,,,,
2-Benzoylbenzoic acid,85-52-9,cyclohexane,ethanol,,,
Benzoyl disulfide (dibenzoyl disulfide),644-32-6,ethyl_acetate,,,,
Benzoylformic acid (phenylglyoxylic acid),611-73-4,ethanol,petroleum_ether,,,
Benzoyl isothiocyanate,532-55-8,ethanol,,,,
Benzoyl peroxide,94-36-0,methanol/water,,,,
p-Benzoylphenol (4-hydroxybenzophenone),1137-42-4,ethanol/water,,,,
4'-Benzylacetophenone,782-92-3,ethanol,water,,,
Benzyl carbamate,621-84-1,toluene,,,,
Benzyl cinnamate,103-41-3,ethanol/water,,,,
Benzyldimethyloctadecylammonium chloride,122-19-0,acetone,,,,
O-Benzylhydroxylamine hydrochloride,2687-43-6,water/ethanol,,,,
N-Benzylideneaniline,538-51-2,ethanol/water,,,,
Benzyl isothiocyanate (Benzyl mustard oil),622-78-6,ethanol,,,,
Benzylmalonic acid (β-phenylisosuccinic acid),616-75-1,petroleum_ether,,,,
Benzyl 4-nitrophenyl carbonate,13795-24-9,petroleum_ether,,,,
2-Benzyloxybenzoic acid (salicylic acid benzyl ether),14389-86-7,ethanol,ethanol/water,,,
p-(Benzyloxy)phenol (monobenzone),103-16-2,ethanol/water,,,,
2-Benzylphenol (α-phenyl-o-cresol),28994-41-4,ethanol,,,,
4-N-Benzylsulfanilamide (Septazen),1709-54-2,dioxane/water,,,,
Benzylthiocyanate (benzyl rhodanide),3012-37-1,ethanol,,,,
Benzyl toluene-p-sulfonate,1024-41-5,petroleum_ether,,,,
Benzyltributylammonium bromide,25316-59-0,ethyl_acetate/ethanol/ethanol/diethyl_ether,,,,
"Bibenzyl (1,2-diphenylethane, dibenzyl)",103-29-7,hexane,,,,
Biphenyl (diphenyl),92-52-4,ethanol,,,,
4-Biphenylcarbonyl chloride,14002-51-8,petroleum_ether,,,,
Biphenyl-2-carboxylic (2-phenylbenzoic) acid,947-84-2,petroleum_ether,,,,
"Biphenyl-4,4’-dicarboxylic acid",787-70-2,methanol,,,,
(±)−α-(4-Biphenylyl)butyric acid,959-10-4,methanol,,,,
Bis-(p-bromophenyl) ether,53563-56-7,ethanol,,,,
"N,N-Bis-(2-chloroethyl) 2-naphthylamine (chlornaphthazine)",494-03-1,petroleum_ether,,,,
"1,4-Bis-(chloromethyl)durene (1,4-bischloromethyl-2,3,5,6-tetramethylbenzene)",3022-16-0,petroleum_ether,,,,
"2,2-Bis-(p-chlorophenyl)-1,1-dichloroethane (p,p'-DDD)",72-54-8,ethanol,,,,
"2,2-Bis-(p-chlorophenyl)-1,1-dichloroethylene (p,p'-DDE)",72-55-9,methanol/ethanol,,,,
"2,2-Bis-(4-chlorophenyl)-1,1,1-trichloroethane (p,p'-DDT, 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane)",50-29-3,ethanol/water,,,,
"4,4'-Bis-(diethylamino)benzophenone",90-93-7,ethanol,,,,
"The (±)-dibenzoyl derivative has m 123-124o. Hexesterol 4,4’-diphosphoric acid ester (Cytostatin)",26614-22-2,diethyl_ether/petroleum_ether,,,,
Bis-(1-naphthylmethyl)amine,5798-49-2,petroleum_ether,,,,
Bis-(4-nitrophenyl) carbonate,5070-13-3,toluene,,,,
Bis-(4-nitrophenyl) ether,101-63-3,petroleum_ether,,,,
Bis-(trifluoroacetoxy)iodobenzene (BTI),2712-78-9,acetone/petroleum_ether,,,,
"Brilliant Green (4-dimethylaminotriphenyl carbinol, Emerald Green, Malachite Green G)",633-03-4,ethanol,,,,
4-Bromoacetanilide,103-88-8,ethanol,,,,
4-Bromoacetophenone,99-90-1,ethanol,petroleum_ether,,,
ω−Bromoacetophenone (phenacyl bromide),70-11-1,ethanol,,,,
4-Bromoaniline,106-40-1,ethanol/diethyl_ether,,,,
9-Bromoanthracene,1564-64-3,methanol/ethanol,,,,
4-Bromobenzal diacetate,55605-27-1,ethanol,,,,
2-Bromobenzonitrile,2042-37-7,water,,,,
2-Bromobenzoic acid (o-bromobenzoic acid),88-65-3,methanol,acetone,ethanol,diethyl_ether/methanol,
4-Bromobenzophenone,90-90-4,ethanol,dioxane/ethanol,,,
4-Bromobenzoyl acetonitrile,4592-94-3,ethanol,,,,
4-Bromobenzoyl chloride,586-75-4,petroleum_ether,,,,
4-Bromobenzyl bromide,589-15-1,ethanol,benzene,,,
4-Bromo-4'-chlorobenzophenone,27428-57-5,ethanol,,,,
N-(2-Bromoethyl)phthalimide,574-98-1,water,,,,
3-Bromo-5-hydroxybenzoic acid,140472-69-1,water,,,,
2-Bromomethylanthraquinone (MAQ-Br),7598-10-9,acetic_acid,,,,
2-(Bromomethyl)benzonitrile,22115-41-9,petroleum_ether/cyclohexane,,,,
2-(Bromomethyl)-naphthalene,939-26-4,ethanol,,,,
1-Bromonaphthalene,90-11-9,ethanol,,,,
1-Bromo-2-naphthol,573-97-7,ethanol/petroleum_ether,,,,
ω-Bromo-4-nitroacetophenone,99-81-0,petroleum_ether,,,,
2-Bromonitrobenzene (2-bromo-1-nitrobenzene),577-19-5,petroleum_ether,,,,
4-Bromonitrobenzene (4-bromo-1-nitrobenzene),586-78-7,petroleum_ether,ethanol,,,
2-Bromophenol,95-56-7,chloroform,,,,
4-Bromophenoxy)acetic acid,1878-91-7,ethanol,,,,
3-(4-Bromophenoxy)propionic acid,93670-18-9,ethanol,,,,
4-Bromophenylacetic acid,1878-68-8,ethanol,,,,
4-Bromophenylhydrazine,589-21-9,ethanol/water,water,,,
4-Bromophenyl isocyanate,2493-02-9,petroleum_ether,,,,
N-(3-Bromopropyl)phthalimide,5460-29-7,ethanol,,,,
5-Bromosalicyl hydroxamic acid,5798-94-7,water,,,,
α-Bromo-p-xylene (4-methylbenzyl bromide),104-81-4,ethanol,,,,
2-tert-Butoxycarbonyloxyimino-2-phenylacetonitrile (BOC-ON),58632-95-4,methanol,,,,
4-Butoxyphenylacetic acid,4547-57-3,petroleum_ether,,,,
n-Butyl 4-aminobenzoate (Butamben),94-25-7,ethanol,,,,
2-tert-Butylanthracene,13719-97-6,ethanol,,,,
4-tert-Butylcatechol,98-29-3,petroleum_ether,,,,
6-tert-Butyl-1-chloro-2-naphthol,525-27-9,petroleum_ether,ethanol,,,
2-tert-Butyl hydroquinone,1948-33-0,water/methanol,,,,
"2-tert-Butyl-4-methoxyphenol (2-tert-butyl-4-hydroxyanisole, BHA)",121-00-6,petroleum_ether,,,,
4-tert-Butylnitrobenzene,3282-56-2,methanol,,,,
tert-Butyl perphthalic acid (monoperoxyphthalic acid 1-tert-butyl ester),15042-77-0,diethyl_ether/diethyl_ether/petroleum_ether,,,,
4-tert-Butylphenol,98-54-4,petroleum_ether,,,,
4-tert-Butylphenoxyacetic acid,1798-04-5,petroleum_ether/petroleum_ether,,,,
N-tert-Butyl α-phenyl nitrone (PBN),3376-24-7,hexane,,,,
"Caffeic acid (3,4-dihydroxycinnamic acid)",331-39-5,water,,,,
N-Carboethoxyphthalimide (N-ethoxycarbonylphthalimide),22509-74-6,toluene/petroleum_ether,,,,
"3-Carboxybenzaldehyde (3-formylbenzoic acid, isophthalaldehydic acid)",619-21-6,water,,,,
"4-Carboxybenzaldehyde (4-formylbenzoic acid, terephthalaldehydic acid)",619-66-9,water,,,,
"Catechol (1,2-dihydroxybenzene, pyrocatechol)",120-80-9,toluene,,,,
"p-Chloranil (2,3,5,6-tetrachloro-1,4-benzoquinone)",118-75-2,acetic_acid,,,,
4-Chloroacetanilide,539-03-7,ethanol,,,,
ω-Chloroacetophenone (phenacyl chloride),532-27-4,methanol,,,,
o-Chloroaniline,95-51-2,ethanol,methanol,,,
1-Chloroanthracene,4985-70-0,ethanol,acetic_acid,,,
10-Chloro-9-anthraldehyde,10527-16-9,ethanol,,,,
2-Chlorobenzaldehyde,89-98-5,petroleum_ether,ethanol,,,
2-Chlorobenzoic acid,118-91-2,diethyl_ether/hexane,ethanol,water,,
2-Chlorobenzonitrile,873-32-5,petroleum_ether,,,,
4-Chlorobenzophenone,134-85-0,ethanol,,,,
trans-4-Chlorocinnamic acid,1615-02-7,ethanol,,,,
"4-Chloro-3,5-dimethylphenol",88-04-0,toluene,,,,
"1-Chloro-2,4-dinitrobenzene",97-00-7,ethanol/methanol,diethyl_ether,,,
"4-Chloro-3,5-dinitrobenzoic acid",118-97-8,ethanol/water,,,,
"Chlorohydroquinone (2-chloro-1,4-dihydroxybenzene)",615-67-8,chloroform/toluene,,,,
1-Chloro-4-iodobenzene,637-87-6,ethanol,,,,
"5-Chloro-2-methoxyaniline (2-amino-4-chloroanisole, 5-chloro-o-anisidine)",95-03-4,water/water,water,,,
3-Chloro-4-methoxyphenethylamine,7569-87-1,ethanol,,,,
9-Chloromethyl anthracene,24463-19-2,hexane,,,,
4-Chloro-2-methylphenol,1570-64-5,petroleum_ether,,,,
4-Chloro-3-methylphenol,59-50-7,petroleum_ether,,,,
N-(Chloromethyl)phthalimide,17564-64-6,ethyl_acetate/carbon_tetrachloride,,,,
1-Chloronaphthalene,90-13-1,ethanol,ethanol/water,,,
1-Chloro-2-naphthol,633-99-8,petroleum_ether,ethanol/chloroform,,,
2-Chloro-4-nitrobenzamide (Aklomix),3011-89-0,ethanol,,,,
2-Chloro-1-nitrobenzene (o-chloronitrobenzene),88-73-3,ethanol,methanol/ethanol/water,ethanol/water,,
3-Chloroperbenzoic acid (MCPBA),937-14-4,diethyl_ether,,,,
3-Chlorophenol,108-43-0,petroleum_ether,,,,
Chlorophenol,106-48-9,petroleum_ether/hexane,,,,
4-Chlorophenoxyacetic acid (4-PCA),122-88-3,ethanol,,,,
(±)-α-4-Chlorophenoxypropionic acid,3307-39-9,ethanol,,,,
β-4-Chlorophenoxypropionic acid,3284-79-5,ethanol,,,,
3-Chlorophenylacetic acid,1878-65-5,ethanol,water,,,
4-Chloro-1-phenylbutan-1-one (γ-chlorobutyrophenone),939-52-6,petroleum_ether,,,,
"3-(4-Chlorophenyl)-1,1-dimethylurea (Monuron, CMU)",150-68-5,methanol,,,,
4-Chlorophenyl isocyanate,104-12-1,petroleum_ether,,,,
4-Chlorophenyl 2-nitrobenzyl ether,109669-56-9,ethanol,,,,
"Chrysene (1,2-benzanthracene)",218-01-9,petroleum_ether,,,,
"Chrysoidine G (4-phenylazo-1,3-benzenediamine monohydrochloride, CI 11270, basic orange 2)",532-82-1,water,,,,
N-Cinnamoyl-N-phenylhydroxylamine,7369-44-0,ethanol,,,,
Coronene,191-07-1,toluene,,,,
o-Cresol,95-48-7,ethanol,petroleum_ether,hexane,,
o-Cresotic acid (3-methylsalicylic acid),83-40-9,water,,,,
4-Cyanobenzoic acid,619-65-8,petroleum_ether,,,,
p-Cyanophenol (p-hydroxybenzonitrile),767-00-0,petroleum_ether,,,,
"(±)-Desyl bromide (α-bromo-desoxybenzoin, ω-bromo-ω−phenyl acetophenone)",484-50-0,ethanol/water,petroleum_ether,,,
"1,2-Diacetyl benzene",704-00-7,petroleum_ether,ethanol,methanol,,
"1,4-Diaminoanthraquinone",128-95-0,ethanol,,,,
"3,3'-Diaminobenzidine",91-95-2,water/ethanol,,,,
"3,4-Diaminobenzoic acid",619-05-6,diethyl_ether,water/toluene,,,
"3,4-Diaminobenzophenone (4-benzoyl-o-phenylenediamine)",39070-63-8,ethanol,petroleum_ether,,,
"1,2-Diamino-4,5-dichlorobenzene",5348-42-5,diethyl_ether/petroleum_ether,hexane,,,
"4,4'-Diaminodiphenyl ether (4,4'-oxydianiline, DADPE)",101-80-4,methanol,,,,
"2,7-Diaminofluorene",524-64-4,water,,,,
"1,4-Diaminonaphthalene",2243-61-0,water,,,,
"Diazoaminobenzene (1,3-diphenyltriazene)",136-36-6,petroleum_ether,,,,
"trans-1,2-Dibenzoylethylene (trans-1,4-diphenyl-2-butane-1,4-dione)",959-28-4,methanol,acetic_acid,,,
"Dibenzoylmethane (1,3-diphenyl-1,3-propanedione)",120-46-7,diethyl_ether,petroleum_ether/methanol,,,
"Dibenzyl ketone (1,3-diphenyl-2-propanone)",102-04-5,petroleum_ether,,,,
"9,10-Dibromoanthracene",523-27-3,toluene,,,,
"1,4-Dibromobenzene",106-37-6,ethanol/methanol,,,,
"2,5-Dibromobenzoic acid",610-71-9,hexane,ethanol,,,
"4,4'-Dibromobiphenyl",92-86-4,methanol,,,,
"α,α-Dibromodeoxybenzoin (α,α-dibromobenzyl phenyl ketone)",15023-99-1,acetic_acid,,,,
"2,5-Dibromonitrobenzene",3460-18-2,acetone/ethanol,,,,
"2,4-Dibromophenol",615-58-7,chloroform,,,,
"α,α'-Dibromo-o-xylene",91-13-4,chloroform/petroleum_ether,acetone,ethanol,,
p-Di-tert-butylbenzene,1012-72-2,diethyl_ether/ethanol,,,,
"2,6-Di-tert-butyl-1,4-benzoquinone",719-22-2,methanol,methanol/petroleum_ether,,,
"3,5-Di-tert-butyl catechol",1020-31-1,petroleum_ether,,,,
"2,6-Di-tert-butyl-p-cresol (2,6-di-tert-butyl-4-methylphenol, butylatedhydroxytoluene, BHT or DBPC)",128-37-0,ethanol,,,,
Di-tert-butyldiperphthalate,2155-71-7,diethyl_ether/petroleum_ether,,,,
"2,5-Di-tert-butylhydroquinone",88-58-4,acetic_acid,,,,
"2,4-Dichloroaniline",554-00-7,ethanol,methanol,,,
"9,10-Dichloroanthracene",605-48-1,methanol,,,,
"2,4-Dichlorobenzaldehyde",874-42-0,ethanol/petroleum_ether,ethanol/water/petroleum_ether,,,
"1,2-Dichlorobenzene (ODCB)",95-50-1,ethanol/methanol,,,,
"2,2'-Dichlorobenzidine",84-68-4,ethanol/water,ethanol,,,
"2,3-Dichlorobenzoic acid",50-45-3,water,ethanol,acetic_acid,,
"2,6-Dichlorobenzonitrile (Diclobenil)",1194-65-6,acetone/petroleum_ether,,,,
"4,4'-Dichlorobenzophenone (4,4’-DBP)",90-98-2,methanol,,,,
"2,5-Dichloro-1,4-benzoquinone",615-93-0,ethanol,petroleum_ether,,,
"2,4-Dichlorobenzyl alcohol (Dybenal)",1777-82-9,ethanol,,,,
"2,3-Dichloro-5,6-dicyano-p-benzoquinone (DDQ)",84-58-2,chloroform,,,,
"2,4-Dichloro-6-methylphenol (2,4-dichloro-o-cresol)",1570-65-6,diethyl_ether,,,,
"2,4-Dichloro-1-naphthol",2050-76-2,methanol,,,,
"2,3-Dichloro-1,4-naphthoquinone (Dichlone, Phygon)",117-80-6,ethanol,,,,
"2,5-Dichloro-4-nitroaniline",6627-34-5,ethanol,,,,
"2,4-Dichloro-6-nitrophenol",609-89-2,acetic_acid,ethanol,,,
"2,3-Dichlorophenol",576-24-9,petroleum_ether,diethyl_ether,,,
"2,4-Dichlorophenoxyacetic acid (2,4-D)",94-75-7,methanol,,,,
"(±)−α-(2,4-Dichlorophenoxy)propionic acid (2,4-DP, Dichloroprop)",120-36-5,methanol,,,,
"2,4-Dichlorophenylacetic acid",19719-28-9,ethanol,,,,
"2,4-Dichlorotoluene",95-73-8,ethanol,,,,
"2,6-Dichlorotoluene",118-69-4,ethanol,,,,
Dicumyl peroxide,80-43-3,ethanol/water,,,,
"1,4-Dicyanobenzene (terephthalonitrile)",623-26-7,ethanol/acetic_acid,,,,
"1,4-Dicyanonaphthalene",3029-30-9,ethanol,,,,
"Diethyl terephthalate (diethyl 1,4-benzenedicarboxylic acid)",636-09-0,toluene,,,,
"9,10-Dihydroanthracene",613-31-0,ethanol,,,,
"1,4-Dihydro-1,4-epoxynaphthalene",573-57-9,petroleum_ether,,,,
"1,8-Dihydroxyanthraquinone (Danthrone, Chrysazine)",117-10-2,ethanol,,,,
"2,4- Dihydroxyazobenzene (Sudan orange G)",2051-85-6,ethanol,,,,
"2,4-Dihydroxybenzophenone (DHB, benzoresorcinol)",131-56-6,methanol/water,,,,
"4,4’-Dihydroxybenzophenone",611-99-4,water,,,,
"2,5-Dihydroxybenzyl alcohol (Gentisyl alcohol)",495-08-9,petroleum_ether,,,,
"1,8-Dihydroxy-3-methylanthraquinone (chrysophanic acid)",481-74-3,ethanol,methanol,,,
"1,3-Dihydroxynaphthalene (naphthoresorcinol)",132-86-5,water,,,,
"1,5-Dihydroxynaphthalene (1,5-naphthalenediol)",83-56-7,petroleum_ether,water,,,
"1,6-Dihydroxynaphthalene",575-44-0,ethanol,,,,
"1,7-Dihydroxynaphthalene",575-38-2,hexane,,,,
"1,8-Dihydroxynaphthalene",569-42-6,diethyl_ether,water,,,
"2,6-Dihydroxynaphthalene",581-43-1,water,ethanol/water,ethanol,,
"2,7-Dihydroxynaphthalene",582-17-2,ethanol,,,,
2-Hydroxy-7methoxy-naphthalene,5060-82-2,methanol,,,,
"2,5-Dihydroxyphenylacetic acid (homogentisic acid)",451-13-8,ethanol/chloroform,,,,
"1,4-Diiodobenzene",624-38-4,ethanol/methanol,ethanol/acetone,,,
"3,5-Dimethoxybenzaldehyde",7311-34-4,hexane,,,,
"1,2-Dimethoxybenzene (veratrole)",91-16-7,hexane,methanol/ethanol,,,
"& Yates Organic Process Research & Development 12 120 2008, DOI: 10.1021/op7001547.] 2,6Dimethoxybenzoic acid",1466-76-8,diethyl_ether,,,,
"2,6-Dimethoxy-1,4-benzoquinone (DMBQ)",530-55-2,water/acetic_acid,,,,
"5,6-Dimethoxy-1-indanone",2107-69-9,methanol,,,,
"1,4-Dimethoxynaphthalene",10075-62-4,ethanol,,,,
"3,4-Dimethoxyphenyl acetic acid (homoveratric acid)",93-40-3,water/petroleum_ether,,,,
"3,5-Dimethoxyphenylacetonitrile",13388-75-5,methanol/petroleum_ether,,,,
"4,4'-Dimethoxytrityl chloride (DMT)",40615-36-9,cyclohexane,diethyl_ether,,,
"4-Dimethylaminoazobenzene (DAB, Dimethyl Yellow, Butter yellow)",60-11-7,acetic_acid,ethanol,,,
"4-Dimethylaminobenzaldehyde (Ehrlich's Reagent, DMAB)",100-10-7,ethanol,,,,
4-Dimethylaminobenzoic acid,619-84-1,water/ethanol,,,,
4-Dimethylaminobenzophenone,530-44-9,ethanol,,,,
4-Dimethylamino cinnamaldehyde,6203-18-5,ethanol/petroleum_ether,,,,
4-Dimethylamino trans-cinnamic acid,1552-96-1,ethanol,water,,,
"N,N-Dimethylaniline",121-69-7,acetone/ethanol,water,,,
"9,10-Dimethylanthracene",781-43-1,ethanol,,,,
"2,3-Dimethylbenzoic acid",603-79-2,ethanol,ethanol/water,,,
"3,4-Dimethylbenzoic acid",619-04-5,ethanol,,,,
"2,5-Dimethyl-1,4-benzoquinone",137-18-8,ethanol,,,,
"1,5-Dimethylnaphthalene",571-61-9,water,ethanol,,,
"3,3'-Dimethylnaphthidine (4,4'-diamino-3,3'-dimethyl-1,1'-binaphthyl)",13138-48-2,ethanol/petroleum_ether,,,,
"N,N-Dimethyl-3-nitroaniline",619-31-8,ethanol,,,,
"N,N-Dimethyl-p-nitrosoaniline (4-nitroso-N,N-dimethylaniline)",138-89-6,petroleum_ether/chloroform/carbon_tetrachloride,,,,
"2,3-Dimethylphenol",526-75-0,ethanol/diethyl_ether,hexane,,,
"*N-(2,6-Dimethylphenyl)formamide",607-92-1,ethanol,,,,
"2,4-Dimethylresorcinol",634-65-1,petroleum_ether,,,,
"2,4-Dinitroaniline",97-02-9,ethanol/acetone,,,,
"2,6-Dinitroaniline (DNAN)",606-22-4,ethanol,,,,
"2,4-Dinitroanisole",119-27-7,ethanol,,,,
"1,2-Dinitrobenzene",528-29-0,ethanol,water,methanol,,
"1,4-Dinitrobenzene",100-25-4,ethanol/ethyl_acetate,,,,
"2,4-Dinitrobenzoic acid",610-30-3,water,,,,
"3,5-Dinitrobenzoic acid",99-34-3,carbon_tetrachloride/petroleum_ether,,,,
"2,2'-Dinitrobiphenyl",2436-96-6,ethanol,,,,
"2,6-Dinitro-p-cresol (2,6-dinitro-4-methylphenol)",609-93-8,ethanol,,,,
"2,4-Dinitrofluorobenzene (FDNB, 1-fluoro-2,4-dinitrobenzene, Sanger's reagent)",70-34-8,diethyl_ether/ethanol,,,,
"2,4-Dinitrophenol",51-28-5,carbon_tetrachloride,,,,
"2,5-Dinitrophenol",329-71-5,water,,,,
"2,6-Dinitrophenol",573-56-8,water,,,,
"3,4-Dinitrophenol",577-71-9,water,,,,
"3,5-Dinitrophenol",586-11-8,chloroform/petroleum_ether,,,,
"2,4-Dinitrophenylacetic acid",643-43-6,water,,,,
"3,5-Dinitrosalicylic acid",609-99-4,water,,,,
"2,6-Dinitrothymol",303-21-9,petroleum_ether,,,,
"2,3-Dinitrotoluene",602-01-7,water/petroleum_ether,,,,
"2,4-Dinitrotoluene",121-14-2,acetone,,,,
"2,6-Dinitrotoluene",606-20-2,acetone,,,,
"3,4-Dinitrotoluene",610-39-9,petroleum_ether,,,,
"3,5-Dinitro-o-toluic acid",28169-46-2,water,ethanol,,,
"2,4-Dinitro-m-xylene",603-02-1,ethanol,,,,
"4,4'-Di-n-pentyloxyazoxybenzene",64242-26-8,acetone,,,,
"Diphenic acid (diphenyl-2,2’-dicarboxylic acid)",482-05-3,ethanol,,,,
"N,N-Diphenylacetamidine",621-09-0,ethanol,,,,
Diphenylacetonitrile,86-29-3,ethanol/petroleum_ether,,,,
Diphenylacetylene (tolan),501-65-5,ethanol,,,,
Diphenylamine,122-39-4,petroleum_ether,,,,
"Diphenylamine-2,2'-dicarboxylic acid (2,2'-iminodibenzoic acid)",579-92-0,ethanol,,,,
"9,10-Diphenylanthracene",1499-10-1,acetic_acid,,,,
"N,N'-Diphenylbenzidine",531-91-9,toluene,hexane,,,
"1,5-Diphenylcarbazone (phenyldiazinecarboxylic acid 2-phenylhydrazide)",538-62-5,ethanol,,,,
Diphenyl carbonate (phenyl carbonate),102-09-0,ethanol,,,,
Diphenylcyclopropenone (Diphencyprone),886-38-4,cyclohexane,,,,
"1,1-Diphenylethanol (α-methylbenzhydrol)",599-67-7,petroleum_ether,,,,
"1,3-Diphenylguanidine",102-06-7,toluene,,,,
"1,6-Diphenyl-1,3,5-hexatriene (DPH, dicinnamyl)",1720-32-7,chloroform/ethanol/chloroform,,,,
Diphenylmethane,101-81-5,ethanol,,,,
"1,1-Diphenylmethylamine (benzhydrylamine, aminodiphenylmethane)",91-00-9,water,,,,
"all-trans-1,8-Diphenyl-1,3,5,7-octatetraene",3029-40-1,ethanol/chloroform/methanol,,,,
"N,N'-Diphenyl-p-phenylenediamine",74-31-7,ethanol,,,,
"1,1-Diphenyl-2-picrylhydrazine",1707-75-1,chloroform,,,,
"2,2-Diphenylpropionic acid",5558-66-7,ethanol,,,,
"1,1-Diphenylurea",603-54-3,methanol,,,,
Di-p-tolyl carbonate,621-02-3,ethanol,,,,
"Di-p-tolylphenylamine (4,4’-dimethyltriphenylamine)",20440-95-3,ethyl_acetate,,,,
Duroquinone (tetramethylbenzoquinone),527-17-3,ethanol/water,ethanol,,,
2-Ethoxynaphthalene,93-18-5,petroleum_ether/ethanol,ethanol,,,
Ethyl p-aminobenzoate (Benzocaine),94-09-7,ethanol/water/ethanol,,,,
p-Ethylaniline,589-16-2,petroleum_ether,,,,
Ethyl p-nitrobenzoate,99-77-4,ethanol,,,,
"Eugenol methyl ether (4-allyl-1,2-dimethoxybenzene)",93-15-2,hexane,,,,
Fluorene,86-73-7,hexane,ethanol/water,ethanol,,
"Fluorene-2,7-diamine",525-64-4,water,,,,
9-Fluorenone,486-25-9,petroleum_ether/methanol,toluene,xylene,,
9-Fluorenylmethyl succinimidyl carbonate,82911-69-1,chloroform/diethyl_ether,petroleum_ether,,,
2-Fluorobenzoic acid,445-29-4,water,,,,
3-Fluorobenzoic acid,445-38-9,water,,,,
4-Fluorobenzoic acid,456-22-4,water,,,,
2-Fluoro-4-nitroaniline,369-35-7,ethanol,,,,
1-Fluoro-4-nitrobenzene,350-46-9,ethanol,,,,
4-Fluorophenoxyacetic acid,405-79-8,ethanol/water,,,,
4-Fluorophenylacetic acid,405-50-5,chloroform,,,,
4-Fluorophenyl 2-nitrobenzyl ether,448-37-3,ethanol,,,,
Guaiacol (2-methoxyphenol),90-05-1,petroleum_ether,ethanol,,,
"Guaiazulene (1,4-dimethyl-7-isopropylazulene, see also Chamazulene above)",489-84-9,ethanol,,,,
Hexadecyl 3-hydroxynaphthalene-2-carboxylate,531-84-0,ethanol,,,,
Hexamethylbenzene,87-85-4,ethanol,,,,
Homophthalic acid,89-51-0,ethanol/methanol,water,,,
"dl-Hydrobenzoin (1,2-diphenyl-1,2-ethanediol, iso-hydrobenzoin)",492-70-6,diethyl_ether/petroleum_ether,,,,
meso-Hydrobenzoin,579-43-1,ethanol,,,,
"Hydroquinone (1,4-dihydroxybenzene, quinol)",123-31-9,acetone,,,,
3-Hydroxyanthranilic acid (2-amino-3-hydroxybenzoic acid),548-93-6,water/ethanol,,,,
3-Hydroxybenzyl alcohol,620-24-6,chloroform,,,,
4-Hydroxybenzyl alcohol (gastrodigenine),623-05-2,water,,,,
trans-4-Hydroxycinnamic acid (p-coumaric acid),501-98-4,water,,,,
4-Hydroxydiphenylamine,122-37-2,petroleum_ether,,,,
4-Hydroxyindane,1641-41-1,petroleum_ether,,,,
4-Hydroxy-2-methylazobenzene (3-methyl-4-phenylazophenol),1435-88-7,hexane,,,,
4-Hydroxy-3-methylazobenzene (2-methyl-4-phenylazophenol),621-66-9,hexane/petroleum_ether,,,,
3-Hydroxy-4-methylbenzaldehyde,57295-30-4,diethyl_ether,,,,
2-Hydroxy-1-naphthaleneacetic acid,10441-45-9,ethanol,,,,
